PowerPerPhoton;2.109859e+02
Photon ID;x-coordinate;y-coordinate;z-coordinate;surface side;Previous PhotonID;Next PhotonID
2;-5.213202e-02;0.000000e+00;-1.409281e-02;-1;1;0
7;2.320819e-02;0.000000e+00;-2.859304e-02;-1;6;0
12;-1.459699e-02;0.000000e+00;-1.746873e-03;-1;11;0
17;4.815982e-03;0.000000e+00;-1.647551e-02;-1;16;0
20;-8.429504e-02;0.000000e+00;-1.073351e-01;-1;19;0
26;9.683934e-02;0.000000e+00;6.031480e-02;-1;25;0
29;-6.972994e-03;8.881784e-16;7.324573e-02;-1;28;0
32;-6.441880e-03;-8.881784e-16;2.440189e-02;-1;31;0
35;-8.556719e-02;-8.881784e-16;1.410341e-01;-1;34;0
38;-7.373264e-02;0.000000e+00;3.579021e-02;-1;37;0
41;6.614813e-03;8.881784e-16;-1.007929e-02;-1;40;0
51;7.639876e-03;0.000000e+00;-4.227204e-02;-1;50;0
54;8.058422e-03;0.000000e+00;-1.533508e-02;-1;53;0
57;6.207120e-03;0.000000e+00;9.626076e-02;-1;56;0
61;1.204276e-02;8.881784e-16;2.456937e-03;-1;60;0
64;6.605013e-02;0.000000e+00;-1.353959e-02;-1;63;0
67;2.782977e-03;-8.881784e-16;-1.994087e-03;-1;66;0
71;-3.566554e-02;0.000000e+00;5.090991e-02;-1;70;0
74;7.644747e-02;0.000000e+00;-3.717208e-02;-1;73;0
77;1.385537e-03;0.000000e+00;-4.515419e-02;-1;76;0
80;-7.347041e-03;0.000000e+00;1.416798e-02;-1;79;0
84;-4.048313e-02;8.881784e-16;3.034022e-02;-1;83;0
88;6.488227e-02;8.881784e-16;4.362160e-02;-1;87;0
92;3.012798e-02;8.881784e-16;2.016394e-05;-1;91;0
98;5.683433e-02;0.000000e+00;-5.620487e-04;-1;97;0
101;5.786187e-02;0.000000e+00;2.376300e-03;-1;100;0
105;-1.168564e-02;-8.881784e-16;6.789064e-02;-1;104;0
111;-3.199097e-02;8.881784e-16;-7.319573e-02;-1;110;0
116;3.318157e-02;-8.881784e-16;-2.725928e-02;-1;115;0
119;-6.579823e-02;-8.881784e-16;-2.977268e-02;-1;118;0
122;8.440874e-02;0.000000e+00;8.797859e-02;-1;121;0
